epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2296,1.05672,3.40697,1.4597,0.01583,0.94444,0.07459,0.01765,2.80417,3.1643,3.40363,0.00028179,0.00028179,0.00028179
2,86.9236,1.00551,2.73578,1.43251,0.02484,0.66667,0.10214,0.02924,1.97831,3.35163,3.01593,0.000544323,0.000544323,0.000544323
3,127.022,1.04511,2.20452,1.44237,0.56893,0.05556,0.22445,0.04898,1.85195,3.46425,2.95178,0.000778059,0.000778059,0.000778059
4,169.416,1.02794,2.00901,1.42622,0.01525,0.5,0.03971,0.01026,2.3404,4.32709,3.26304,0.000774013,0.000774013,0.000774013
5,208.187,1.01641,1.85432,1.39969,0.39542,0.27778,0.1988,0.04872,2.37818,3.24634,3.54349,0.000729018,0.000729018,0.000729018
6,248.102,0.97067,1.70134,1.36557,0.39504,0.16667,0.24829,0.10057,2.48074,2.99745,3.23055,0.000684022,0.000684022,0.000684022
7,291.277,0.96185,1.64211,1.35278,0.84528,0.60733,0.63952,0.32545,1.81773,1.86779,2.90043,0.000639027,0.000639027,0.000639027
8,331.676,0.93543,1.53829,1.33156,0.7829,0.60161,0.67458,0.33817,1.72834,1.87765,2.8051,0.000594031,0.000594031,0.000594031
9,370.653,0.90222,1.43668,1.30767,0.54303,0.11111,0.19198,0.05883,2.58303,3.3449,3.17114,0.000549036,0.000549036,0.000549036
10,412.419,0.89393,1.40318,1.30084,0.7715,0.16667,0.58182,0.2776,1.78468,3.05696,2.695,0.00050404,0.00050404,0.00050404
11,455.719,0.89837,1.27532,1.34862,0.87281,0.5,0.61363,0.33662,1.73128,2.25242,2.583,0.000459045,0.000459045,0.000459045
12,494.265,0.88539,1.18874,1.3356,0.7558,0.61111,0.65397,0.3479,1.55964,1.92469,2.59949,0.000414049,0.000414049,0.000414049
13,534.332,0.85093,1.11471,1.32081,0.90752,0.54596,0.67189,0.31085,1.74962,1.90139,2.83898,0.000369054,0.000369054,0.000369054
14,572.664,0.8362,1.02154,1.29003,0.8123,0.61111,0.70909,0.35597,1.7272,1.76481,2.62769,0.000324058,0.000324058,0.000324058
15,611.448,0.81143,0.97882,1.28393,0.84484,0.60541,0.6787,0.33902,1.88713,1.7481,2.74599,0.000279063,0.000279063,0.000279063
16,649.692,0.77619,0.91218,1.25964,0.85346,0.64805,0.69523,0.37697,1.76307,1.77382,2.68289,0.000234068,0.000234068,0.000234068
17,689.343,0.75321,0.84969,1.23778,0.73561,0.44444,0.62627,0.2973,1.84331,1.76499,2.79468,0.000189072,0.000189072,0.000189072
18,728.522,0.72892,0.8073,1.21693,1,0.4824,0.7428,0.37459,1.75754,1.43862,2.65199,0.000144077,0.000144077,0.000144077
19,767.802,0.71424,0.76108,1.1992,0.77333,0.61111,0.73452,0.36528,1.78109,1.49576,2.64809,9.9081e-05,9.9081e-05,9.9081e-05
20,806.717,0.69267,0.74637,1.18415,0.98824,0.61111,0.82324,0.47183,1.56481,1.2535,2.53235,5.40855e-05,5.40855e-05,5.40855e-05
